(0.1157, -0.0013, 0.9925, 0.0400)
(0.0844, 0.0347, 0.9952, 0.0366)
(0.0504, -0.0053, 0.9977, 0.0442)
(0.0072, -0.0412, 0.9991, -0.0013)
(0.1063, -0.0028, 0.9922, 0.0647)
(0.0574, -0.0091, 0.9983, -0.0014)
(0.0546, -0.0134, 0.9984, -0.0086)
(0.0708, -0.0093, 0.9974, 0.0080)
(0.0728, 0.0007, 0.9972, 0.0180)
(0.0648, -0.0012, 0.9979, -0.0039)
(0.1231, 0.0160, 0.9905, 0.0586)
(0.0466, -0.0059, 0.9988, -0.0128)
(0.1003, 0.0180, 0.9944, 0.0290)
(0.0471, 0.0031, 0.9986, -0.0222)
(0.0687, 0.0026, 0.9974, -0.0236)
(0.0545, -0.0033, 0.9982, -0.0254)
(0.1095, 0.0102, 0.9939, 0.0069)
(0.0596, -0.0042, 0.9975, -0.0367)
(0.0614, -0.0056, 0.9968, -0.0512)
(0.0491, -0.0090, 0.9972, -0.0552)
(0.0442, -0.0085, 0.9976, -0.0530)
(0.0550, -0.0064, 0.9972, -0.0496)
(0.0383, -0.0103, 0.9979, -0.0509)
(0.0467, -0.0096, 0.9979, -0.0443)
(0.0563, -0.0071, 0.9974, -0.0448)
(0.0422, -0.0094, 0.9982, -0.0412)
(0.0326, -0.0138, 0.9994, 0.0034)
(0.0440, -0.0142, 0.9988, 0.0174)
(0.0675, -0.0005, 0.9977, -0.0046)
(0.0430, -0.0053, 0.9989, 0.0203)
(0.0152, -0.0027, 0.9996, 0.0247)
(0.0251, 0.0130, 0.9982, 0.0522)
(0.0774, 0.0222, 0.9965, 0.0205)
(0.0946, 0.0290, 0.9949, 0.0207)
(0.0474, 0.0157, 0.9986, -0.0194)
(0.0529, 0.0104, 0.9985, -0.0113)
(0.0645, -0.0032, 0.9979, -0.0057)
(0.0982, 0.0083, 0.9951, -0.0086)
(0.1085, 0.0124, 0.9940, -0.0059)
(0.0925, 0.0057, 0.9956, -0.0102)
(0.0862, 0.0070, 0.9962, -0.0125)
(0.0889, 0.0046, 0.9960, -0.0073)
(0.0779, 0.0023, 0.9970, 0.0040)
(0.0731, 0.0008, 0.9973, 0.0005)
(0.0655, -0.0002, 0.9978, 0.0038)
(0.0562, -0.0062, 0.9984, -0.0005)
(0.0607, -0.0073, 0.9981, -0.0007)
(0.0817, -0.0046, 0.9966, -0.0073)
(0.0713, -0.0052, 0.9973, -0.0170)
(0.0787, -0.0045, 0.9967, -0.0177)
(0.0779, -0.0018, 0.9969, -0.0139)
(0.0666, -0.0044, 0.9975, -0.0219)
(0.0660, -0.0040, 0.9975, -0.0232)
(0.0731, -0.0015, 0.9971, -0.0233)
(0.0736, -0.0005, 0.9970, -0.0234)
(0.0732, -0.0036, 0.9970, -0.0242)
(0.0789, -0.0027, 0.9966, -0.0227)
