(0.2730, 0.3022, -0.6542, -0.6373)
(0.2862, 0.3163, -0.6492, -0.6297)
(0.2841, 0.3132, -0.6506, -0.6308)
(0.2678, 0.3015, -0.6590, -0.6349)
(0.2563, 0.2973, -0.6628, -0.6377)
(0.2427, 0.2952, -0.6653, -0.6414)
(0.2345, 0.3047, -0.6692, -0.6359)
(0.2346, 0.2954, -0.6732, -0.6360)
(0.2248, 0.3206, -0.6487, -0.6525)
(0.2421, 0.4366, -0.5728, -0.6500)
(0.6120, 0.6438, -0.2029, -0.4122)
(0.7155, 0.6768, 0.0384, -0.1686)
(0.6945, 0.7006, 0.0161, -0.1629)
(0.6928, 0.7007, 0.0275, -0.1682)
(0.6523, 0.7477, -0.0388, -0.1180)
(0.6572, 0.7316, -0.0019, -0.1811)
(0.0411, 0.1658, -0.6722, -0.7204)
(-0.1953, 0.4115, -0.6651, -0.5918)
(-0.1602, 0.3884, -0.6859, -0.5941)
(-0.0693, 0.0513, -0.7628, -0.6408)
(0.0355, -0.0254, -0.7420, -0.6690)
(0.1253, -0.0438, -0.7468, -0.6517)
(0.1379, -0.0140, -0.7488, -0.6481)
(0.1544, -0.0365, -0.7644, -0.6249)
(0.1264, -0.0135, -0.7780, -0.6152)
(0.0306, 0.0602, -0.7258, -0.6845)
(0.0100, 0.0253, -0.7107, -0.7030)
(0.0084, 0.0411, -0.7451, -0.6657)
(-0.0101, -0.0298, -0.6929, -0.7203)
(-0.0154, 0.0845, -0.7009, -0.7081)
(-0.2738, 0.2982, -0.6660, -0.6265)
(-0.2840, 0.2794, -0.6676, -0.6290)
(-0.2925, 0.2713, -0.6695, -0.6266)
(-0.2906, 0.2713, -0.6769, -0.6195)
(-0.0945, 0.0728, -0.7660, -0.6317)
(-0.0904, 0.0749, -0.7604, -0.6388)
(-0.0878, 0.0590, -0.7688, -0.6307)
(0.5948, 0.7969, 0.0181, -0.1042)
(0.6136, 0.7772, 0.0072, -0.1395)
(0.5941, 0.7882, 0.0644, -0.1473)
(0.5867, 0.7809, 0.0644, -0.2046)
(0.6264, 0.7491, 0.0723, -0.2033)
(0.6423, 0.7431, 0.0508, -0.1806)
(0.6090, 0.7875, -0.0934, 0.0151)
(0.6627, 0.7453, -0.0461, -0.0559)
(0.6633, 0.7298, -0.1132, -0.1209)
(0.6726, 0.7230, -0.1006, -0.1217)
(0.7025, 0.6745, 0.1754, -0.1443)
(0.6786, 0.6699, 0.2676, -0.1384)
(0.6414, 0.6914, 0.2960, -0.1514)
(0.6127, 0.6988, 0.3326, -0.1601)
(0.6072, 0.6865, 0.3758, -0.1372)
(0.6228, 0.7461, 0.2277, 0.0598)
(0.5874, 0.7757, 0.1244, 0.1942)
(0.5920, 0.7665, 0.1292, 0.2130)
(0.6457, 0.7354, 0.1869, 0.0854)
(0.0119, -0.0193, 0.7254, 0.6880)
(0.0318, -0.0072, 0.7251, 0.6879)
(0.0763, -0.0458, 0.7230, 0.6851)
(0.0301, -0.0911, 0.7363, 0.6698)
(-0.1047, -0.0061, 0.7432, 0.6608)
(-0.1145, -0.0116, 0.7583, 0.6417)
(-0.0933, -0.0669, 0.7582, 0.6418)
(0.0403, -0.1454, 0.7162, 0.6814)
(0.1962, -0.1807, 0.7221, 0.6383)
(0.2959, -0.1130, 0.7314, 0.6039)
(0.0425, -0.0317, 0.7153, 0.6968)
(0.0110, -0.0313, 0.7080, 0.7054)
(-0.1288, 0.0191, 0.7144, 0.6875)
(-0.1376, -0.0200, 0.6875, 0.7128)
(-0.1540, -0.0148, 0.6621, 0.7333)
(-0.1476, -0.0105, 0.6507, 0.7448)
(-0.0687, 0.0540, 0.6424, 0.7614)
(0.0345, 0.1172, 0.6201, 0.7750)
(0.0381, 0.1157, 0.6302, 0.7668)
(0.1042, 0.1060, 0.6483, 0.7467)
(0.1434, 0.1128, 0.6528, 0.7352)
(0.2074, 0.1492, 0.6621, 0.7046)
(0.2070, 0.1751, 0.6637, 0.6972)
(0.2039, 0.1526, 0.6731, 0.6943)
(0.1756, 0.1512, 0.6696, 0.7056)
(0.1537, 0.1225, 0.6792, 0.7071)
(0.1515, 0.1466, 0.6679, 0.7137)
(0.1272, 0.1245, 0.6822, 0.7092)
(0.1406, 0.0798, 0.6862, 0.7092)
(0.2133, 0.1553, 0.6687, 0.6952)
(0.1911, 0.1228, 0.6733, 0.7037)
(0.1699, 0.1078, 0.6720, 0.7127)
(0.1447, 0.0955, 0.6736, 0.7184)
(0.1475, 0.0892, 0.6697, 0.7223)
(0.1279, 0.0893, 0.6750, 0.7211)
(0.1385, 0.0589, 0.6720, 0.7251)
(0.1595, 0.0600, 0.6723, 0.7204)
(0.1810, 0.0775, 0.6754, 0.7107)
(0.1701, 0.1054, 0.6857, 0.6998)
(0.1665, 0.1145, 0.6851, 0.6998)
(0.1659, 0.1246, 0.6923, 0.6911)
(0.1247, 0.0933, 0.6947, 0.7022)
(0.1093, 0.0642, 0.6739, 0.7279)
(0.0136, 0.0935, 0.6826, 0.7246)
(0.0288, 0.0878, 0.6883, 0.7195)
(0.0494, 0.1398, 0.6737, 0.7240)
(0.1260, 0.0964, 0.6761, 0.7195)
(0.1489, 0.1173, 0.6704, 0.7174)
(0.1333, 0.1255, 0.6754, 0.7144)
(0.1306, 0.1508, 0.6826, 0.7031)
(0.1411, 0.1365, 0.6780, 0.7083)
(0.1369, 0.1230, 0.6465, 0.7403)
(0.1160, 0.1421, 0.6471, 0.7400)
(0.1245, 0.0935, 0.6691, 0.7267)
(0.1564, 0.0855, 0.6635, 0.7267)
(0.1444, 0.0378, 0.6721, 0.7253)
(0.1799, 0.0615, 0.6735, 0.7143)
(0.1674, 0.0891, 0.6805, 0.7078)
(0.1643, 0.0799, 0.6795, 0.7106)
(0.6889, 0.7018, 0.1370, 0.1190)
(0.6550, 0.7190, 0.1814, 0.1450)
(0.6742, 0.7061, 0.1715, 0.1319)
(0.6706, 0.7074, 0.1762, 0.1374)
(0.6762, 0.7040, 0.1790, 0.1225)
(0.6813, 0.7042, 0.1670, 0.1097)
(0.6833, 0.7049, 0.1598, 0.1029)
(0.6938, 0.6684, 0.2312, 0.1356)
(0.7001, 0.6573, 0.2493, 0.1253)
(0.6764, 0.6725, 0.2554, 0.1579)
(0.6588, 0.7000, 0.2043, 0.1852)
(0.6665, 0.7118, 0.1469, 0.1663)
(0.6807, 0.6991, 0.1697, 0.1387)
(0.6940, 0.6953, 0.1406, 0.1227)
(0.6928, 0.6933, 0.1629, 0.1134)
(0.7080, 0.6999, 0.0843, 0.0417)
(0.7069, 0.7001, 0.0874, 0.0499)
(0.7027, 0.7042, 0.0888, 0.0498)
(0.6972, 0.7071, 0.1003, 0.0629)
(0.6916, 0.7142, 0.0824, 0.0691)
(0.6894, 0.7154, 0.0863, 0.0749)
(0.6971, 0.7054, 0.0896, 0.0922)
(0.7001, 0.7082, 0.0683, 0.0598)
(0.6987, 0.7135, 0.0387, 0.0370)
(0.6890, 0.7219, 0.0612, 0.0226)
(0.6796, 0.7247, 0.0956, 0.0611)
(0.6777, 0.7117, 0.1550, 0.1010)
(0.6883, 0.7007, 0.1592, 0.0996)
(0.7020, 0.6951, 0.1342, 0.0775)
(0.6909, 0.7094, 0.1174, 0.0753)
(0.6969, 0.7111, 0.0793, 0.0490)
(0.6928, 0.7173, 0.0684, 0.0278)
(0.6932, 0.7181, 0.0580, 0.0196)
(0.6940, 0.7156, 0.0767, 0.0172)
(0.6912, 0.7174, 0.0825, 0.0275)
(0.6886, 0.7191, 0.0867, 0.0356)
(0.6822, 0.7115, 0.1356, 0.0995)
(0.6962, 0.6898, 0.1719, 0.1002)
(0.6848, 0.6982, 0.1488, 0.1460)
(0.6715, 0.7098, 0.1211, 0.1750)
(0.6872, 0.6990, 0.1071, 0.1667)
(0.6863, 0.7092, 0.1229, 0.1043)
(0.6764, 0.7200, 0.1048, 0.1139)
(0.6710, 0.7263, 0.0652, 0.1343)
(0.6581, 0.7378, 0.0781, 0.1285)
(0.6514, 0.7424, 0.0905, 0.1279)
(0.6388, 0.7505, 0.0948, 0.1404)
(0.6243, 0.7657, 0.0797, 0.1326)
(0.6172, 0.7730, 0.0828, 0.1216)
